rpt_month,rpt_day,occur_month,occur_day,occur_time,location,victims,day_of_week,crime,neighborhood
12,28,12,27,17,LOGAN CIR NW,1,Thu,LARCENY-FROM VEHICLE,Underwood Hills
12,28,12,27,19,CUSTER AVE SE,1,Thu,BURGLARY-NONRES,Custer/McDonough/Guice
12,28,12,25,0,ARKWRIGHT PL SE,1,Mon,LARCENY-NON VEHICLE,Edgewood
12,28,12,26,23,26TH ST NW,1,Wed,AUTO THEFT,Brookwood
12,28,12,28,9,NARRON DR SW,1,Thu,AUTO THEFT,Deerwood
12,28,12,28,10,OLLIE ST NW @WASHINGTON PARK,1,Thu,LARCENY-FROM VEHICLE,Washington Park
12,28,12,28,9,NEW TOWN CIR SE,1,Thu,LARCENY-FROM VEHICLE,Thomasville Heights
12,28,12,27,20,PIEDMONT AVE NE,1,Thu,LARCENY-FROM VEHICLE,Morningside/Lenox Park
12,28,12,23,20,FRASER ST SE,1,Unk,LARCENY-NON VEHICLE,Summerhill
12,28,12,28,7,FAIRLANE CIR NW,1,Thu,AUTO THEFT,Fairburn Heights
12,28,12,28,11,MARTIN L KING JR DR NW,1,Thu,LARCENY-NON VEHICLE,Vine City
12,28,12,27,23,SELMAN ST SE,1,Thu,LARCENY-FROM VEHICLE,Reynoldstown
12,28,12,27,18,NORTHSIDE CIR NW,1,Wed,RAPE,Loring Heights
12,28,12,28,12,14TH ST NW,1,Thu,LARCENY-FROM VEHICLE,Home Park
12,28,12,28,11,16TH ST NW @IKEA,2,Thu,LARCENY-FROM VEHICLE,Atlantic Station
12,28,12,27,12,BAKER ST NW,1,Thu,LARCENY-FROM VEHICLE,Downtown
12,28,12,28,13,BEATIE AVE SW,2,Thu,AGG ASSAULT,Capitol View
12,28,12,23,14,WESTVIEW DR SW,1,Unk,BURGLARY-RESIDENCE,Ashview Heights
12,28,12,28,14,MARTIN L. KING JR DR SW,1,Thu,LARCENY-FROM VEHICLE,Adamsville
12,28,12,28,13,HYACINTH AVE NW,2,Thu,ROBBERY-PEDESTRIAN,Dixie Hills
12,28,12,28,14,MARTIN LUTHER KING JR DR SW,1,Thu,ROBBERY-PEDESTRIAN,Harland Terrace
12,28,12,28,14,CLEVELAND AVE SW,1,Thu,LARCENY-NON VEHICLE,Glenrose Heights
12,28,12,28,14,NISKEY LAKE TRL SW,1,Thu,LARCENY-FROM VEHICLE,Niskey Lake
12,28,12,24,23,PIEDMONT AVE NE @LANDMARK APTS,1,Unk,LARCENY-NON VEHICLE,Downtown
12,28,12,28,15,HOOD AVE NW,1,Thu,BURGLARY-RESIDENCE,Center Hill
12,28,12,28,8,GLENWOOD AVE SE,1,Thu,LARCENY-FROM VEHICLE,East Lake
12,28,12,28,15,RALPH D ABERNATHY BLVD SW,1,Thu,LARCENY-FROM VEHICLE,West End
12,28,12,28,15,COLLIER RD NW,1,Thu,AUTO THEFT,Underwood Hills
12,28,3,31,23,LIDDELL DR NE @FUTOS;,1,Sat,AUTO THEFT,Morningside/Lenox Park
12,28,12,28,16,PEACHTREE RD NE @MACYS DEPARTMENT STORE,1,Thu,LARCENY-NON VEHICLE,Lenox
12,28,12,27,16,BOULEVARD SE,1,Thu,LARCENY-FROM VEHICLE,Sweet Auburn
12,28,12,28,14,CUMBERLAND RD NE,1,Thu,LARCENY-FROM VEHICLE,Morningside/Lenox Park
12,28,12,28,17,EUCLID AVE NE,1,Thu,LARCENY-NON VEHICLE,Inman Park
12,28,12,28,15,PEACHTREE RD NE @TARGET - PEACHTREE,1,Thu,LARCENY-NON VEHICLE,Lenox
12,28,10,25,23,MONROE DR NE,1,Unk,BURGLARY-NONRES,Piedmont Heights
12,28,12,28,18,COURTLAND ST SE,1,Thu,LARCENY-NON VEHICLE,Downtown
12,28,12,28,14,HAWKINS ST NW,1,Thu,BURGLARY-RESIDENCE,Hunter Hills
12,28,12,28,17,JAMES JACKSON PKWY NW,1,Thu,AUTO THEFT,Monroe Heights
12,28,12,28,18,PONCE DE LEON AVE NE,1,Thu,AUTO THEFT,Midtown
12,28,12,28,19,METROPOLITAN PKWY SW,1,Thu,LARCENY-NON VEHICLE,Perkerson
12,28,12,28,16,JOHN WESLEY DOBBS AVE NE,1,Thu,LARCENY-FROM VEHICLE,Old Fourth Ward
12,28,12,28,19,HOWELL MILL RD NW,1,Thu,LARCENY-NON VEHICLE,Berkeley Park
12,28,12,23,8,N HIGHLAND AVE NE,1,Unk,LARCENY-NON VEHICLE,Inman Park
12,28,12,28,19,PRYOR ST SW,1,Thu,LARCENY-NON VEHICLE,Peoplestown
12,28,12,28,18,10TH ST NE @BELTLINE BUSINESS,2,Thu,LARCENY-FROM VEHICLE,
12,28,12,28,15,BERNE ST SE,2,Thu,BURGLARY-RESIDENCE,Ormewood Park
12,28,12,28,20,FAIRBURN RD NW,1,Thu,AGG ASSAULT,Adamsville
12,28,12,28,19,BRADBERRY ST SW,1,Thu,LARCENY-FROM VEHICLE,Castleberry Hill
12,28,12,28,18,METROPOLITAN PKWY SW,1,Thu,LARCENY-FROM VEHICLE,Sylvan Hills
12,28,12,28,19,MARIETTA ST NW,1,Thu,LARCENY-FROM VEHICLE,Downtown
12,28,12,28,22,CAROLINE ST NE @TARGET - CAROLINE,1,Thu,LARCENY-NON VEHICLE,Edgewood
12,28,12,28,23,TALIA WOOD CIR NW,1,Thu,AUTO THEFT,Grove Park
12,28,12,28,15,FAIRBURN RD SW,1,Thu,BURGLARY-RESIDENCE,
12,28,12,27,17,AMSTERDAM AVE NE,2,Wed,LARCENY-FROM VEHICLE,Virginia Highland
12,27,12,27,20,ENGLISH ST NW,1,Wed,LARCENY-FROM VEHICLE,Blandtown
12,27,12,27,20,ENGLISH ST NW,1,Wed,AUTO THEFT,Blandtown
12,27,12,27,23,GREENBRIAR PKWY SW;,1,Wed,LARCENY-NON VEHICLE,
12,27,12,27,23,MARTIN L KING JR DR SW,1,Wed,AUTO THEFT,
12,27,12,27,18,PEACHTREE HILLS CIR NE,1,Wed,LARCENY-FROM VEHICLE,Peachtree Hills
12,27,12,27,23,PHARR RD NE,3,Wed,LARCENY-FROM VEHICLE,Buckhead Village
12,27,12,25,19,COLEMAN ST,1,Mon,AGG ASSAULT,Pittsburgh
12,27,12,22,15,BELMONT AVE SW,1,Unk,LARCENY-FROM VEHICLE,Capitol View
12,27,12,20,0,CAHOON ST,1,Unk,AUTO THEFT,Sylvan Hills
12,27,12,26,21,PEACHTREE RD NE,1,Tue,LARCENY-FROM VEHICLE,
12,27,12,26,21,FLAT SHOALS RD SE,1,Tue,AUTO THEFT,East Atlanta
12,27,12,27,3,MORELAND AVE SE,1,Wed,ROBBERY-PEDESTRIAN,Reynoldstown
12,27,12,27,4,BOULEVARD NE,1,Wed,LARCENY-NON VEHICLE,Old Fourth Ward
12,27,12,27,5,MARTIN L KING JR DR SW,1,Wed,AUTO THEFT,Harland Terrace
12,27,12,26,21,W PEACHTREE ST NW,1,Wed,LARCENY-NON VEHICLE,Midtown
12,27,12,26,7,PRYOR ST SW,2,Tue,LARCENY-FROM VEHICLE,Downtown
12,27,12,24,10,TUXEDO RD NW,1,Unk,BURGLARY-RESIDENCE,Tuxedo Park
12,27,12,27,9,BOLTON RD NW,1,Wed,LARCENY-FROM VEHICLE,Bolton
12,27,12,27,9,CLEVELAND AVE,1,Wed,ROBBERY-PEDESTRIAN,Glenrose Heights
12,27,12,26,11,W PACES FERRY RD NW,1,Tue,LARCENY-FROM VEHICLE,Peachtree Heights West
12,27,12,27,9,DONALD LEE HOLLOWELL PKWY,1,Wed,LARCENY-NON VEHICLE,Grove Park
12,27,12,26,8,POOLE RD SW,1,Tue,LARCENY-NON VEHICLE,Adams Park
12,27,12,18,12,LUCILE AVE SW,1,Unk,LARCENY-FROM VEHICLE,Harris Chiles
12,27,12,25,20,MURPHY AVE SW,1,Unk,AUTO THEFT,Capitol View
12,27,12,22,16,OLD GEORGIAN TER NW,1,Unk,LARCENY-NON VEHICLE,Whittier Mill Village
